Fiesta,LA BIEN QUERIDA,1900,2011,Bilbao,canción,indie pop,pop,siglo XXI,-,-,-,-,-,-,-,-,-
Take Care,DRAKE,1900,2011,Canadá,hip hop,pop,R&B,siglo XXI,-,-,-,-,-,-,-,-,-
Merriweather Post Pavilion,ANIMAL COLLECTIVE,1900,2000s,2009,Estados Unidos,experimental rock,indie rock,pop,pop psicodélico,-,-,-,-,-,-,-,-
Real Gone,TOM WAITS,1900,2004,blues-rock,Estados Unidos,experimental rock,rock,siglo XXI,spoken word,-,-,-,-,-,-,-,-
Beyond The Sun,CHRIS ISAAK,1900,2011,Estados Unidos,rock'n'roll,siglo XXI,tributo,-,-,-,-,-,-,-,-,-,-
Love At The Bottom Of The Sea,THE MAGNETIC FIELDS,1900,2012,Estados Unidos,indie pop,pop,siglo XXI,synthpop,-,-,-,-,-,-,-,-,-
Achtung Baby (RDL 82),U2,1900,1990s,1991,dance-rock,Irlanda,pop-rock,rock,-,-,-,-,-,-,-,-,-
Échate un cantecito (RDL 92),KIKO VENENO,1900,1990s,1992,flamenco-pop,nuevo flamenco,pop,pop-rock,rumba,Sevilla,-,-,-,-,-,-,-
The xx,THE xx,1900,2009,indie pop,Inglaterra,siglo XXI,-,-,-,-,-,-,-,-,-,-,-
Goblin,"TYLER, THE CREATOR",1900,2011,Estados Unidos,hardcore hip hop,hip hop,siglo XXI,-,-,-,-,-,-,-,-,-,-
Animalia lotsatuen putzua,LISABÖ,1900,2010s,2011,en euskera,Irun,post-hardcore,rock,-,-,-,-,-,-,-,-,-
Automatic For The People,R.E.M.,1900,1990s,1992,Estados Unidos,rock,-,-,-,-,-,-,-,-,-,-,-
Modern Times,BOB DYLAN,1900,2006,americana,blues-rock,country-blues,Estados Unidos,folk-rock,rhythm'n'blues,rock,roots rock,siglo XXI,-,-,-,-,-
Dare,THE HUMAN LEAGUE,1900,1981,Inglaterra,new romantic,synthpop,-,-,-,-,-,-,-,-,-,-,-
What's Going On,MARVIN GAYE,1900,1970s,1971,Estados Unidos,soul,-,-,-,-,-,-,-,-,-,-,-
Together Through Life,BOB DYLAN,1900,2009,americana,blues-rock,country-blues,Estados Unidos,folk-rock,rhythm'n'blues,rock,roots rock,siglo XXI,-,-,-,-,-
Blue,JONI MITCHELL,1900,1970s,1971,Canadá,folk-rock,-,-,-,-,-,-,-,-,-,-,-
Un soplo en el corazón,FAMILY,1900,1990s,1994,donosti sound,pop,San Sebastián,synthpop,-,-,-,-,-,-,-,-,-
The Queen Is Dead,THE SMITHS,1900,1986,indie pop,Inglaterra,pop-rock,-,-,-,-,-,-,-,-,-,-,-
Dog Man Star,SUEDE,1900,1990s,1994,britpop,glam rock,Inglaterra,-,-,-,-,-,-,-,-,-,-
Una semana en el motor de un autobús,LOS PLANETAS,1900,1990s,1998,Granada,indie pop,pop,rock,rock psicodélico,-,-,-,-,-,-,-,-
Put Your Back N 2 It,PERFUME GENIUS,1900,2012,Estados Unidos,pop,pop de cámara,siglo XXI,-,-,-,-,-,-,-,-,-,-
Ester,TRAILER TRASH TRACYS,1900,2012,art pop,dream pop,indie rock,Inglaterra,siglo XXI,-,-,-,-,-,-,-,-,-
Watch The Throne,KANYE WEST / JAY-Z,1900,2011,Estados Unidos,hip hop,siglo XXI,-,-,-,-,-,-,-,-,-,-,-
Gilles Peterson Presents Havana...,Varios,1900,2011,Cuba,recopilación,siglo XXI,-,-,-,-,-,-,-,-,-,-,-
The Slideshow Effect,MEMORYHOUSE,1900,2012,Canadá,dream pop,indie rock,siglo XXI,-,-,-,-,-,-,-,-,-,-
Tucson Songs. Exciting New Sounds...,Varios,1900,2012,blues,country,Estados Unidos,folk,recopilación,rock,siglo XXI,-,-,-,-,-,-,-
Chill Out,JOE CREPÚSCULO,1900,2009,Barcelona,pop,siglo XXI,-,-,-,-,-,-,-,-,-,-,-
Majesty Shredding,SUPERCHUNK,1900,2010,Estados Unidos,indie rock,siglo XXI,-,-,-,-,-,-,-,-,-,-,-
Broken Record,LLOYD COLE,1900,2010,folk-rock,Inglaterra,pop,rock,siglo XXI,-,-,-,-,-,-,-,-,-
Le condamné à mort,JEANNE MOREAU & ÉTIENNE DAHO,1900,2010,chanson,Francia,poesía,siglo XXI,spoken word,-,-,-,-,-,-,-,-,-
Trompe Le Monde,PIXIES,1900,1990s,1991,Estados Unidos,indie rock,rock,-,-,-,-,-,-,-,-,-,-
